Time,Pressure
0,0
0.001,0
0.002,0
0.003,0
0.004,0
0.005,0
0.006,0
0.007,0
0.008,0
0.009,0
0.01,0
0.011,0
0.012,0
0.013,-4.2039e-44
0.014,-4.24593e-43
0.015,-2.85024e-42
0.016,-1.54493e-41
0.017,-7.21024e-41
0.018,-2.98566e-40
0.019,-1.11878e-39
0.02,-3.84984e-39
0.021,-1.23046e-38
0.022,-3.68605e-38
0.023,-1.04262e-37
0.024,-2.80164e-37
0.025,-7.1886e-37
0.026,-1.76891e-36
0.027,-4.19003e-36
0.028,-9.5846e-36
0.029,-2.12323e-35
0.03,-4.56622e-35
0.031,-9.55432e-35
0.032,-1.94879e-34
0.033,-3.88156e-34
0.034,-7.56127e-34
0.035,-1.44257e-33
0.036,-2.69889e-33
0.037,-4.95719e-33
0.038,-8.94832e-33
0.039,-1.58898e-32
0.04,-2.7781e-32
0.041,-4.78607e-32
0.042,-8.13078e-32
0.043,-1.36303e-31
0.044,-2.25618e-31
0.045,-3.68972e-31
0.046,-5.96484e-31
0.047,-9.537e-31
0.048,-1.50882e-30
0.049,-2.36303e-30
0.05,-3.66511e-30
0.051,-5.63193e-30
0.052,-8.57708e-30
0.053,-1.29503e-29
0.054,-1.9392e-29
0.055,-2.88069e-29
0.056,-4.24644e-29
0.057,-6.21336e-29
0.058,-9.02634e-29
0.059,-1.30222e-28
0.06,-1.86614e-28
0.061,-2.65697e-28
0.062,-3.75924e-28
0.063,-5.28651e-28
0.064,-7.3905e-28
0.065,-1.02729e-27
0.066,-1.42003e-27
0.067,-1.95234e-27
0.068,-2.67016e-27
0.069,-3.63332e-27
0.07,-4.91944e-27
0.071,-6.62874e-27
0.072,-8.89006e-27
0.073,-1.18683e-26
0.074,-1.57738e-26
0.075,-2.08734e-26
0.076,-2.75046e-26
0.077,-3.60926e-26
0.078,-4.7171e-26
0.079,-6.14066e-26
0.08,-7.96303e-26
0.081,-1.02873e-25
0.082,-1.32411e-25
0.083,-1.69815e-25
0.084,-2.17017e-25
0.085,-2.76381e-25
0.086,-3.50792e-25
0.087,-4.43761e-25
0.088,-5.59545e-25
0.089,-7.03288e-25
0.09,-8.81194e-25
0.091,-1.10071e-24
0.092,-1.37078e-24
0.093,-1.70205e-24
0.094,-2.10725e-24
0.095,-2.60144e-24
0.096,-3.20253e-24
0.097,-3.9316e-24
0.098,-4.81354e-24
0.099,-5.87755e-24
0.1,-7.15787e-24
0.101,-8.69447e-24
0.102,-1.0534e-23
0.103,-1.27305e-23
0.104,-1.53469e-23
0.105,-1.84557e-23
0.106,-2.21406e-23
0.107,-2.64979e-23
0.108,-3.16381e-23
0.109,-3.76876e-23
0.11,-4.47905e-23
0.111,-5.31113e-23
0.112,-6.28362e-23
0.113,-7.41766e-23
0.114,-8.7371e-23
0.115,-1.02688e-22
0.116,-1.2043e-22
0.117,-1.40935e-22
0.118,-1.64582e-22
0.119,-1.91791e-22
0.12,-2.23033e-22
0.121,-2.58825e-22
0.122,-2.99743e-22
0.123,-3.46418e-22
0.124,-3.99545e-22
0.125,-4.59887e-22
0.126,-5.28272e-22
0.127,-6.05607e-22
0.128,-6.9287e-22
0.129,-7.91122e-22
0.13,-9.01502e-22
0.131,-1.02523e-21
0.132,-1.16362e-21
0.133,-1.31805e-21
0.134,-1.48999e-21
0.135,-1.68099e-21
0.136,-1.89266e-21
0.137,-2.12668e-21
0.138,-2.38479e-21
0.139,-2.66876e-21
0.14,-2.98041e-21
0.141,-3.32155e-21
0.142,-3.69398e-21
0.143,-4.09946e-21
0.144,-4.5397e-21
0.145,-5.01628e-21
0.146,-5.53063e-21
0.147,-6.08402e-21
0.148,-6.67743e-21
0.149,-7.31157e-21
0.15,-7.98673e-21
0.151,-8.70278e-21
0.152,-9.45905e-21
0.153,-1.02542e-20
0.154,-1.10863e-20
0.155,-1.19523e-20
0.156,-1.28484e-20
0.157,-1.37698e-20
0.158,-1.47102e-20
0.159,-1.5662e-20
0.16,-1.66162e-20
0.161,-1.75619e-20
0.162,-1.84865e-20
0.163,-1.9375e-20
0.164,-2.02105e-20
0.165,-2.09735e-20
0.166,-2.16417e-20
0.167,-2.219e-20
0.168,-2.25904e-20
0.169,-2.28113e-20
0.17,-2.28179e-20
0.171,-2.25717e-20
0.172,-2.20303e-20
0.173,-2.11472e-20
0.174,-1.98721e-20
0.175,-1.81501e-20
0.176,-1.59224e-20
0.177,-1.31257e-20
0.178,-9.69234e-21
0.179,-5.55063e-21
0.18,-6.24749e-22
0.181,5.1649e-21
0.182,1.19014e-20
0.183,1.9671e-20
0.184,2.85625e-20
0.185,3.86663e-20
0.186,5.00744e-20
0.187,6.28785e-20
0.188,7.71697e-20
0.189,9.30367e-20
0.19,1.10565e-19
0.191,1.29833e-19
0.192,1.50914e-19
0.193,1.7387e-19
0.194,1.98753e-19
0.195,2.25599e-19
0.196,2.54425e-19
0.197,2.85231e-19
0.198,3.17988e-19
0.199,3.52642e-19
0.2,3.89105e-19
0.201,4.27252e-19
0.202,4.66914e-19
0.203,5.07877e-19
0.204,5.49872e-19
0.205,5.92572e-19
0.206,6.35584e-19
0.207,6.78442e-19
0.208,7.20604e-19
0.209,7.61437e-19
0.21,8.0022e-19
0.211,8.36128e-19
0.212,8.68226e-19
0.213,8.95467e-19
0.214,9.16678e-19
0.215,9.30552e-19
0.216,9.35648e-19
0.217,9.30377e-19
0.218,9.12998e-19
0.219,8.81611e-19
0.22,8.34155e-19
0.221,7.68399e-19
0.222,6.81945e-19
0.223,5.72221e-19
0.224,4.36481e-19
0.225,2.71812e-19
0.226,7.51323e-20
0.227,-1.568e-19
0.228,-4.27379e-19
0.229,-7.40136e-19
0.23,-1.09873e-18
0.231,-1.50692e-18
0.232,-1.96855e-18
0.233,-2.48752e-18
0.234,-3.06774e-18
0.235,-3.71312e-18
0.236,-4.42749e-18
0.237,-5.21457e-18
0.238,-6.07792e-18
0.239,-7.02084e-18
0.24,-8.04635e-18
0.241,-9.15706e-18
0.242,-1.03551e-17
0.243,-1.1642e-17
0.244,-1.30186e-17
0.245,-1.44849e-17
0.246,-1.60401e-17
0.247,-1.76821e-17
0.248,-1.94077e-17
0.249,-2.12122e-17
0.25,-2.30893e-17
0.251,-2.50309e-17
0.252,-2.70271e-17
0.253,-2.90655e-17
0.254,-3.11315e-17
0.255,-3.32076e-17
0.256,-3.52734e-17
0.257,-3.73054e-17
0.258,-3.92765e-17
0.259,-4.11558e-17
0.26,-4.29083e-17
0.261,-4.44946e-17
0.262,-4.58706e-17
0.263,-4.69871e-17
0.264,-4.77894e-17
0.265,-4.82174e-17
0.266,-4.82047e-17
0.267,-4.76783e-17
0.268,-4.6559e-17
0.269,-4.47601e-17
0.27,-4.21879e-17
0.271,-3.87407e-17
0.272,-3.43094e-17
0.273,-2.87763e-17
0.274,-2.20157e-17
0.275,-1.38932e-17
0.276,-4.26571e-18
0.277,7.01831e-18
0.278,2.01193e-17
0.279,3.52065e-17
0.28,5.24573e-17
0.281,7.2058e-17
0.282,9.42024e-17
0.283,1.19092e-16
0.284,1.46937e-16
0.285,1.77951e-16
0.286,2.12355e-16
0.287,2.50376e-16
0.288,2.92244e-16
0.289,3.38189e-16
0.29,3.88445e-16
0.291,4.43245e-16
0.292,5.02817e-16
0.293,5.67389e-16
0.294,6.37177e-16
0.295,7.12392e-16
0.296,7.93229e-16
0.297,8.7987e-16
0.298,9.72477e-16
0.299,1.07119e-15
0.3,1.17612e-15
0.301,1.28735e-15
0.302,1.40493e-15
0.303,1.52887e-15
0.304,1.65911e-15
0.305,1.79557e-15
0.306,1.9381e-15
0.307,2.08648e-15
0.308,2.24042e-15
0.309,2.39955e-15
0.31,2.56343e-15
0.311,2.73149e-15
0.312,2.90308e-15
0.313,3.07745e-15
0.314,3.25369e-15
0.315,3.43079e-15
0.316,3.6076e-15
0.317,3.78279e-15
0.318,3.9549e-15
0.319,4.12229e-15
0.32,4.28312e-15
0.321,4.43538e-15
0.322,4.57684e-15
0.323,4.70507e-15
0.324,4.8174e-15
0.325,4.91094e-15
0.326,4.98255e-15
0.327,5.02883e-15
0.328,5.04612e-15
0.329,5.03049e-15
0.33,4.97772e-15
0.331,4.88333e-15
0.332,4.74251e-15
0.333,4.55019e-15
0.334,4.30099e-15
0.335,3.9892e-15
0.336,3.60887e-15
0.337,3.15369e-15
0.338,2.61711e-15
0.339,1.99225e-15
