Time,Pressure
0.287,1.17899e-23
0.288,1.50551e-23
0.289,1.87484e-23
0.29,2.29037e-23
0.291,2.75552e-23
0.292,3.27377e-23
0.293,3.84857e-23
0.294,4.4833e-23
0.295,5.18124e-23
0.296,5.9455e-23
0.297,6.77894e-23
0.298,7.68411e-23
0.299,8.66317e-23
0.3,9.71775e-23
0.301,1.08489e-22
0.302,1.20569e-22
0.303,1.33411e-22
0.304,1.47001e-22
0.305,1.6131e-22
0.306,1.76297e-22
0.307,1.91905e-22
0.308,2.08059e-22
0.309,2.24666e-22
0.31,2.41608e-22
0.311,2.58745e-22
0.312,2.75905e-22
0.313,2.9289e-22
0.314,3.09465e-22
0.315,3.25359e-22
0.316,3.40261e-22
0.317,3.53814e-22
0.318,3.65614e-22
0.319,3.75206e-22
0.32,3.82078e-22
0.321,3.85659e-22
0.322,3.85313e-22
0.323,3.80337e-22
0.324,3.69955e-22
0.325,3.53315e-22
0.326,3.29485e-22
0.327,2.97451e-22
0.328,2.56108e-22
0.329,2.04265e-22
0.33,1.40634e-22
0.331,6.38347e-23
0.332,-2.76127e-23
0.333,-1.35284e-22
0.334,-2.60855e-22
0.335,-4.06097e-22
0.336,-5.72877e-22
0.337,-7.63155e-22
0.338,-9.78978e-22
0.339,-1.22247e-21
0.34,-1.49585e-21
0.341,-1.80136e-21
0.342,-2.14134e-21
0.343,-2.51813e-21
0.344,-2.9341e-21
0.345,-3.39164e-21
0.346,-3.8931e-21
0.347,-4.44077e-21
0.348,-5.03689e-21
0.349,-5.68355e-21
0.35,-6.38272e-21
0.351,-7.13616e-21
0.352,-7.94538e-21
0.353,-8.81162e-21
0.354,-9.73574e-21
0.355,-1.07182e-20
0.356,-1.1759e-20
0.357,-1.28575e-20
0.358,-1.40125e-20
0.359,-1.5222e-20
0.36,-1.64832e-20
0.361,-1.77925e-20
0.362,-1.9145e-20
0.363,-2.05349e-20
0.364,-2.19549e-20
0.365,-2.33965e-20
0.366,-2.48495e-20
0.367,-2.63022e-20
0.368,-2.77409e-20
0.369,-2.91499e-20
0.37,-3.05115e-20
0.371,-3.18055e-20
0.372,-3.30093e-20
0.373,-3.40978e-20
0.374,-3.50428e-20
0.375,-3.58132e-20
0.376,-3.63749e-20
0.377,-3.669e-20
0.378,-3.67176e-20
0.379,-3.64127e-20
0.38,-3.57267e-20
0.381,-3.4607e-20
0.382,-3.29967e-20
0.383,-3.0835e-20
0.384,-2.80563e-20
0.385,-2.45911e-20
0.386,-2.03652e-20
0.387,-1.53e-20
0.388,-9.31251e-21
0.389,-2.31537e-21
0.39,5.78302e-21
0.391,1.50783e-20
0.392,2.56701e-20
0.393,3.76613e-20
0.394,5.11583e-20
0.395,6.62702e-20
0.396,8.31081e-20
0.397,1.01785e-19
0.398,1.22415e-19
0.399,1.45111e-19
0.4,1.69987e-19
0.401,1.97153e-19
0.402,2.26719e-19
0.403,2.58786e-19
0.404,2.93452e-19
0.405,3.30807e-19
0.406,3.70931e-19
0.407,4.13893e-19
0.408,4.59747e-19
0.409,5.08532e-19
0.41,5.60267e-19
0.411,6.14951e-19
0.412,6.72557e-19
0.413,7.33029e-19
0.414,7.96282e-19
0.415,8.62194e-19
0.416,9.30604e-19
0.417,1.00131e-18
0.418,1.07405e-18
0.419,1.14853e-18
0.42,1.22438e-18
0.421,1.30118e-18
0.422,1.37843e-18
0.423,1.45556e-18
0.424,1.53193e-18
0.425,1.60679e-18
0.426,1.67933e-18
0.427,1.74862e-18
0.428,1.81362e-18
0.429,1.87321e-18
0.43,1.92611e-18
0.431,1.97096e-18
0.432,2.00622e-18
0.433,2.03027e-18
0.434,2.04129e-18
0.435,2.03736e-18
0.436,2.01638e-18
0.437,1.9761e-18
0.438,1.91409e-18
0.439,1.82777e-18
0.44,1.7144e-18
0.441,1.57103e-18
0.442,1.39458e-18
0.443,1.18176e-18
0.444,9.29138e-19
0.445,6.33082e-19
0.446,2.89815e-19
0.447,-1.04609e-19
0.448,-5.54283e-19
0.449,-1.06345e-18
0.45,-1.63646e-18
0.451,-2.27781e-18
0.452,-2.99207e-18
0.453,-3.7839e-18
0.454,-4.65798e-18
0.455,-5.61905e-18
0.456,-6.67182e-18
0.457,-7.82095e-18
0.458,-9.07103e-18
0.459,-1.04265e-17
0.46,-1.18917e-17
0.461,-1.34705e-17
0.462,-1.51668e-17
0.463,-1.69839e-17
0.464,-1.89247e-17
0.465,-2.09916e-17
0.466,-2.31865e-17
0.467,-2.55105e-17
0.468,-2.79639e-17
0.469,-3.0546e-17
0.47,-3.32554e-17
0.471,-3.60891e-17
0.472,-3.90433e-17
0.473,-4.21125e-17
0.474,-4.52897e-17
0.475,-4.85661e-17
0.476,-5.19312e-17
0.477,-5.53723e-17
0.478,-5.88746e-17
0.479,-6.24208e-17
0.48,-6.5991e-17
0.481,-6.95624e-17
0.482,-7.31093e-17
0.483,-7.66028e-17
0.484,-8.00104e-17
0.485,-8.3296e-17
0.486,-8.64196e-17
0.487,-8.93371e-17
0.488,-9.19999e-17
0.489,-9.43548e-17
0.49,-9.6344e-17
0.491,-9.79044e-17
0.492,-9.89677e-17
0.493,-9.94602e-17
0.494,-9.93022e-17
0.495,-9.84085e-17
0.496,-9.66875e-17
0.497,-9.40416e-17
0.498,-9.03666e-17
0.499,-8.5552e-17
0.5,-7.94806e-17
0.501,-7.20287e-17
0.502,-6.30658e-17
0.503,-5.24547e-17
0.504,-4.0052e-17
0.505,-2.57073e-17
0.506,-9.26451e-18
0.507,9.43894e-18
0.508,3.05712e-17
0.509,5.43056e-17
0.51,8.08207e-17
0.511,1.10299e-16
0.512,1.42927e-16
0.513,1.78895e-16
0.514,2.18392e-16
0.515,2.61613e-16
0.516,3.0875e-16
0.517,3.59993e-16
0.518,4.15531e-16
0.519,4.7555e-16
0.52,5.40226e-16
0.521,6.09732e-16
0.522,6.84228e-16
0.523,7.63862e-16
0.524,8.48769e-16
0.525,9.39066e-16
0.526,1.03485e-15
0.527,1.1362e-15
0.528,1.24315e-15
0.529,1.35573e-15
0.53,1.47391e-15
0.531,1.59765e-15
0.532,1.72685e-15
0.533,1.86136e-15
0.534,2.00099e-15
0.535,2.14548e-15
0.536,2.29452e-15
0.537,2.44773e-15
0.538,2.60464e-15
0.539,2.76473e-15
0.54,2.92737e-15
0.541,3.09183e-15
0.542,3.25731e-15
0.543,3.42287e-15
0.544,3.58749e-15
0.545,3.74998e-15
0.546,3.90906e-15
0.547,4.06331e-15
0.548,4.21113e-15
0.549,4.3508e-15
0.55,4.48042e-15
0.551,4.59792e-15
0.552,4.70106e-15
0.553,4.78741e-15
0.554,4.85434e-15
0.555,4.89901e-15
0.556,4.9184e-15
0.557,4.90924e-15
0.558,4.86804e-15
0.559,4.79112e-15
0.56,4.6745e-15
0.561,4.51402e-15
0.562,4.30525e-15
0.563,4.04351e-15
0.564,3.72389e-15
0.565,3.34121e-15
0.566,2.89006e-15
0.567,2.36477e-15
0.568,1.75946e-15
0.569,1.06799e-15
0.57,2.83997e-16
0.571,-5.99092e-16
0.572,-1.58805e-15
0.573,-2.68984e-15
0.574,-3.91159e-15
0.575,-5.26057e-15
0.576,-6.74419e-15
0.577,-8.36992e-15
0.578,-1.01453e-14
0.579,-1.20779e-14
0.58,-1.41754e-14
0.581,-1.6445e-14
0.582,-1.88943e-14
0.583,-2.15305e-14
0.584,-2.43604e-14
0.585,-2.73908e-14
0.586,-3.0628e-14
0.587,-3.40777e-14
0.588,-3.77454e-14
0.589,-4.16355e-14
0.59,-4.57521e-14
0.591,-5.00983e-14
0.592,-5.46762e-14
0.593,-5.94868e-14
0.594,-6.45299e-14
0.595,-6.98041e-14
0.596,-7.53063e-14
0.597,-8.10317e-14
0.598,-8.6974e-14
0.599,-9.31246e-14
0.6,-9.94727e-14
0.601,-1.06005e-13
0.602,-1.12707e-13
0.603,-1.19558e-13
0.604,-1.26539e-13
0.605,-1.33624e-13
0.606,-1.40785e-13
0.607,-1.4799e-13
0.608,-1.55203e-13
0.609,-1.62384e-13
0.61,-1.69489e-13
0.611,-1.76468e-13
0.612,-1.83266e-13
0.613,-1.89825e-13
0.614,-1.96079e-13
0.615,-2.01956e-13
0.616,-2.0738e-13
0.617,-2.12267e-13
0.618,-2.16525e-13
0.619,-2.20059e-13
0.62,-2.22763e-13
0.621,-2.24525e-13
0.622,-2.25224e-13
0.623,-2.24735e-13
0.624,-2.22919e-13
0.625,-2.19634e-13
0.626,-2.14726e-13
0.627,-2.08033e-13
0.628,-1.99385e-13
0.629,-1.88604e-13
0.63,-1.755e-13
0.631,-1.59877e-13
0.632,-1.41529e-13
0.633,-1.20241e-13
0.634,-9.57911e-14
0.635,-6.79467e-14
0.636,-3.64687e-14
0.637,-1.10971e-15
0.638,3.83846e-14
0.639,8.22753e-14
0.64,1.3083e-13
0.641,1.8432e-13
0.642,2.43024e-13
0.643,3.07221e-13
0.644,3.77194e-13
0.645,4.53228e-13
0.646,5.35607e-13
0.647,6.24613e-13
0.648,7.20526e-13
0.649,8.23618e-13
0.65,9.34158e-13
0.651,1.0524e-12
0.652,1.1786e-12
0.653,1.31298e-12
0.654,1.45575e-12
0.655,1.60712e-12
0.656,1.76725e-12
0.657,1.93629e-12
0.658,2.11436e-12
0.659,2.30153e-12
0.66,2.49785e-12
0.661,2.70332e-12
0.662,2.91789e-12
0.663,3.14146e-12
0.664,3.37387e-12
0.665,3.6149e-12
0.666,3.86427e-12
0.667,4.1216e-12
0.668,4.38646e-12
0.669,4.6583e-12
0.67,4.93651e-12
0.671,5.22036e-12
0.672,5.50899e-12
0.673,5.80147e-12
0.674,6.09671e-12
0.675,6.39349e-12
0.676,6.69047e-12
0.677,6.98614e-12
0.678,7.27884e-12
0.679,7.56675e-12
0.68,7.84786e-12
0.681,8.11999e-12
0.682,8.38075e-12
0.683,8.62757e-12
0.684,8.85765e-12
0.685,9.06798e-12
0.686,9.25531e-12
0.687,9.41617e-12
0.688,9.54683e-12
0.689,9.64331e-12
0.69,9.70137e-12
0.691,9.7165e-12
0.692,9.68393e-12
0.693,9.59857e-12
0.694,9.45509e-12
0.695,9.24785e-12
0.696,8.97091e-12
0.697,8.61804e-12
0.698,8.18271e-12
0.699,7.65811e-12
0.7,7.03711e-12
0.701,6.3123e-12
0.702,5.47597e-12
0.703,4.52016e-12
0.704,3.4366e-12
0.705,2.21678e-12
0.706,8.5193e-13
0.707,-6.66937e-13
0.708,-2.34904e-12
0.709,-4.20377e-12
0.71,-6.24072e-12
0.711,-8.46959e-12
0.712,-1.09002e-11
0.713,-1.35425e-11
0.714,-1.64063e-11
0.715,-1.95017e-11
0.716,-2.28385e-11
0.717,-2.64264e-11
0.718,-3.02751e-11
0.719,-3.4394e-11
0.72,-3.87921e-11
0.721,-4.34783e-11
0.722,-4.84607e-11
0.723,-5.37471e-11
0.724,-5.93448e-11
0.725,-6.52602e-11
0.726,-7.14988e-11
0.727,-7.80654e-11
0.728,-8.49638e-11
0.729,-9.21963e-11
0.73,-9.97643e-11
0.731,-1.07667e-10
0.732,-1.15904e-10
0.733,-1.24471e-10
0.734,-1.33362e-10
0.735,-1.4257e-10
0.736,-1.52086e-10
0.737,-1.61897e-10
0.738,-1.71989e-10
0.739,-1.82344e-10
0.74,-1.92942e-10
0.741,-2.03759e-10
0.742,-2.14769e-10
0.743,-2.25939e-10
0.744,-2.37237e-10
0.745,-2.48622e-10
0.746,-2.60053e-10
0.747,-2.71481e-10
0.748,-2.82854e-10
0.749,-2.94114e-10
0.75,-3.05198e-10
0.751,-3.16038e-10
0.752,-3.2656e-10
0.753,-3.36682e-10
0.754,-3.46318e-10
0.755,-3.55375e-10
0.756,-3.63751e-10
0.757,-3.7134e-10
0.758,-3.78026e-10
0.759,-3.83687e-10
0.76,-3.88193e-10
0.761,-3.91406e-10
0.762,-3.93178e-10
0.763,-3.93356e-10
0.764,-3.91776e-10
0.765,-3.88266e-10
0.766,-3.82645e-10
0.767,-3.74724e-10
0.768,-3.64304e-10
0.769,-3.51178e-10
0.77,-3.35129e-10
0.771,-3.15933e-10
0.772,-2.93356e-10
0.773,-2.67155e-10
0.774,-2.37079e-10
0.775,-2.02869e-10
0.776,-1.64259e-10
0.777,-1.20973e-10
0.778,-7.27316e-11
0.779,-1.92453e-11
0.78,3.97796e-11
0.781,1.04643e-10
0.782,1.75647e-10
0.783,2.53102e-10
0.784,3.37317e-10
0.785,4.28605e-10
0.786,5.27279e-10
0.787,6.33652e-10
0.788,7.48034e-10
0.789,8.70734e-10
0.79,1.00205e-09
0.791,1.14229e-09
0.792,1.29173e-09
0.793,1.45065e-09
0.794,1.61932e-09
0.795,1.79798e-09
0.796,1.98687e-09
0.797,2.1862e-09
0.798,2.39617e-09
0.799,2.61693e-09
0.8,2.84862e-09
0.801,3.09135e-09
0.802,3.3452e-09
0.803,3.61017e-09
0.804,3.88628e-09
0.805,4.17345e-09
0.806,4.47159e-09
0.807,4.78052e-09
0.808,5.10003e-09
0.809,5.42982e-09
0.81,5.76955e-09
0.811,6.11879e-09
0.812,6.47701e-09
0.813,6.84364e-09
0.814,7.218e-09
0.815,7.5993e-09
0.816,7.98666e-09
0.817,8.37911e-09
0.818,8.77553e-09
0.819,9.17473e-09
0.82,9.57534e-09
0.821,9.97591e-09
0.822,1.03748e-08
0.823,1.07703e-08
0.824,1.11604e-08
0.825,1.15432e-08
0.826,1.19163e-08
0.827,1.22774e-08
0.828,1.26239e-08
0.829,1.29531e-08
0.83,1.32619e-08
0.831,1.35473e-08
0.832,1.38059e-08
0.833,1.40342e-08
0.834,1.42284e-08
0.835,1.43845e-08
0.836,1.44983e-08
0.837,1.45654e-08
0.838,1.45812e-08
0.839,1.45408e-08
0.84,1.4439e-08
0.841,1.42706e-08
0.842,1.40298e-08
0.843,1.3711e-08
0.844,1.3308e-08
0.845,1.28146e-08
0.846,1.22241e-08
0.847,1.153e-08
0.848,1.0725e-08
0.849,9.80218e-09
0.85,8.75396e-09
0.851,7.57277e-09
0.852,6.25077e-09
0.853,4.77997e-09
0.854,3.15219e-09
0.855,1.3591e-09
0.856,-6.07757e-10
0.857,-2.75699e-09
0.858,-5.09728e-09
0.859,-7.6374e-09
0.86,-1.03862e-08
0.861,-1.33525e-08
0.862,-1.65451e-08
0.863,-1.9973e-08
0.864,-2.36448e-08
0.865,-2.75691e-08
0.866,-3.17546e-08
0.867,-3.62094e-08
0.868,-4.09418e-08
0.869,-4.59594e-08
0.87,-5.12698e-08
0.871,-5.688e-08
0.872,-6.27967e-08
0.873,-6.90261e-08
0.874,-7.55736e-08
0.875,-8.24442e-08
0.876,-8.96421e-08
0.877,-9.71707e-08
0.878,-1.05033e-07
0.879,-1.13229e-07
0.88,-1.21762e-07
0.881,-1.30629e-07
0.882,-1.39829e-07
0.883,-1.4936e-07
0.884,-1.59216e-07
0.885,-1.69391e-07
0.886,-1.79878e-07
0.887,-1.90668e-07
0.888,-2.01749e-07
0.889,-2.13109e-07
0.89,-2.2473e-07
0.891,-2.36597e-07
0.892,-2.4869e-07
0.893,-2.60985e-07
0.894,-2.73458e-07
0.895,-2.86082e-07
0.896,-2.98825e-07
0.897,-3.11655e-07
0.898,-3.24534e-07
0.899,-3.37422e-07
0.9,-3.50276e-07
0.901,-3.63049e-07
0.902,-3.7569e-07
0.903,-3.88145e-07
0.904,-4.00354e-07
0.905,-4.12256e-07
0.906,-4.23782e-07
0.907,-4.34862e-07
0.908,-4.4542e-07
0.909,-4.55375e-07
0.91,-4.64641e-07
0.911,-4.73129e-07
0.912,-4.80743e-07
0.913,-4.87382e-07
0.914,-4.92941e-07
0.915,-4.97309e-07
0.916,-5.0037e-07
0.917,-5.02001e-07
0.918,-5.02077e-07
0.919,-5.00464e-07
0.92,-4.97024e-07
0.921,-4.91612e-07
0.922,-4.8408e-07
0.923,-4.74273e-07
0.924,-4.62031e-07
0.925,-4.47186e-07
0.926,-4.29569e-07
0.927,-4.09002e-07
0.928,-3.85305e-07
0.929,-3.5829e-07
0.93,-3.27765e-07
0.931,-2.93536e-07
0.932,-2.55401e-07
0.933,-2.13156e-07
0.934,-1.66593e-07
0.935,-1.15499e-07
0.936,-5.96611e-08
0.937,1.13957e-09
0.938,6.71226e-08
0.939,1.3851e-07
0.94,2.15523e-07
0.941,2.98387e-07
0.942,3.87325e-07
0.943,4.82559e-07
0.944,5.84312e-07
0.945,6.92804e-07
0.946,8.0825e-07
0.947,9.30864e-07
0.948,1.06085e-06
0.949,1.19842e-06
0.95,1.34377e-06
0.951,1.49708e-06
0.952,1.65853e-06
0.953,1.82829e-06
0.954,2.00653e-06
0.955,2.19338e-06
0.956,2.38898e-06
0.957,2.59345e-06
0.958,2.80688e-06
0.959,3.02936e-06
0.96,3.26094e-06
0.961,3.50167e-06
0.962,3.75156e-06
0.963,4.0106e-06
0.964,4.27875e-06
0.965,4.55595e-06
0.966,4.8421e-06
0.967,5.13707e-06
0.968,5.44069e-06
0.969,5.75276e-06
0.97,6.07304e-06
0.971,6.40124e-06
0.972,6.73703e-06
0.973,7.08003e-06
0.974,7.42983e-06
0.975,7.78593e-06
0.976,8.14782e-06
0.977,8.51489e-06
0.978,8.88652e-06
0.979,9.26198e-06
0.98,9.64051e-06
0.981,1.00213e-05
0.982,1.04033e-05
0.983,1.07857e-05
0.984,1.11674e-05
0.985,1.15472e-05
0.986,1.1924e-05
0.987,1.22964e-05
0.988,1.2663e-05
0.989,1.30224e-05
0.99,1.33731e-05
0.991,1.37133e-05
0.992,1.40414e-05
0.993,1.43554e-05
0.994,1.46535e-05
0.995,1.49335e-05
0.996,1.51935e-05
0.997,1.5431e-05
0.998,1.56438e-05
0.999,1.58293e-05
1,1.59851e-05
1.001,1.61084e-05
1.002,1.61964e-05
1.003,1.62463e-05
1.004,1.62549e-05
